,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address,Porto_distance,Porto_duration,Porto_transit_distance,Porto_transit_duration,Lisboa_distance,Lisboa_duration,Lisboa_transit_distance,Lisboa_transit_duration
232,Alentejo,Sines,37.9571555,-8.860890699999999,ChIJYfjgEgO_Gw0RHuATLf4j_WU,Portugal,Setubal,Sines,"Sines, Portugal",431,04:01:00,502,05:33:00,159,01:43:00,186,02:45:00
234,Alentejo,Aljustrel,37.8760582,-8.1649833,ChIJ0yWVecVCGg0RG2Pnv6T_SfM,Portugal,Beja District,Aljustrel,"7600 Aljustrel, Portugal",435,03:55:00,510,05:53:00,163,01:38:00,184,02:25:00
235,Alentejo,Almodôvar,37.4891809,-8.090174,ChIJ3cxwQKSTGg0RoC6Q5L3rAAQ,Portugal,Beja District,Almodôvar,"Almodôvar, 7700, Portugal",486,04:24:00,Não disponível,00:00:00,214,02:06:00,Não disponível,00:00:00
236,Alentejo,Alvito,38.2558735,-7.991930099999999,ChIJgw0iUv0aGg0RPUWalX-gb-E,Portugal,Beja,Alvito,"7920 Alvito, Portugal",448,04:11:00,Não disponível,00:00:00,176,01:54:00,Não disponível,00:00:00
237,Alentejo,Barrancos,38.1328809,-6.977312599999999,ChIJzxM3FUMiEQ0RKQ-ERyAtwoI,Portugal,Beja District,Barrancos,"7230 Barrancos, Portugal",510,05:09:00,Não disponível,00:00:00,238,02:52:00,Não disponível,00:00:00
238,Alentejo,Beja,38.0153039,-7.8627308,ChIJh83fpXFzGg0Rk1HM5nDqWmo,Portugal,Beja District,Beja,"7800 Beja, Portugal",448,04:18:00,547,07:20:00,176,02:01:00,195,04:35:00
239,Alentejo,Castro Verde,37.6991315,-8.085826299999999,ChIJMSZ-sdBhGg0RhC1KnWezgi4,Portugal,Beja District,Castro Verde,"7780 Castro Verde, Portugal",462,04:09:00,533,06:18:00,190,01:51:00,207,02:50:00
240,Alentejo,Cuba,38.156574,-7.8939317,ChIJqTDeXMQOGg0Rvhaa77RAmw4,Portugal,Beja District,Cuba,"Cuba, 7940, Portugal",448,04:13:00,477,05:57:00,176,01:56:00,177,02:37:00
241,Alentejo,Ferreira do Alentejo,38.0593873,-8.114071299999999,ChIJWePvDfE_Gg0RRBzPFH2NHsQ,Portugal,Beja District,Ferreira do Alentejo,"7900 Ferreira do Alentejo, Portugal",424,03:56:00,463,05:30:00,153,01:38:00,152,01:50:00
242,Alentejo,Mértola,37.6415148,-7.6606665,ChIJq8xkRrt9EA0RmKY7gnJpwCQ,Portugal,Beja District,Mértola,"7750 Mértola, Portugal",506,04:43:00,554,07:30:00,234,02:25:00,244,03:50:00
243,Alentejo,Moura,38.1426988,-7.4512581,ChIJCYqlfobAEA0RpIfEV3Xm3rs,Portugal,Beja District,Moura,"7860 Moura, Portugal",481,04:43:00,525,06:45:00,209,02:25:00,215,03:10:00
244,Alentejo,Ourique,37.6521402,-8.224390399999999,ChIJiwXCl3j2Gg0Rds12p2UEtbo,Portugal,Beja District,Ourique,"7670 Ourique, Portugal",462,04:08:00,518,06:45:00,191,01:51:00,203,02:45:00
245,Alentejo,Serpa,37.9469642,-7.602181900000001,ChIJR_VTc2KQEA0REPxXdwNQTKw,Portugal,Beja District,Serpa,"7830 Serpa, Portugal",474,04:33:00,517,06:25:00,202,02:16:00,207,02:45:00
246,Alentejo,Vidigueira,38.2118842,-7.8005203,ChIJhzGAgREIGg0Rq6kyjRNDLmE,Portugal,Beja District,Vidigueira,"7960 Vidigueira, Portugal",458,04:24:00,490,05:50:00,187,02:06:00,184,02:10:00
248,Alentejo,Almeirim,39.2075098,-8.6270969,ChIJ2wYm0kHwGA0Rm6QlouP8QhU,Portugal,Santarém District,Almeirim,"2080 Almeirim, Portugal",257,02:26:00,Não disponível,00:00:00,91.8,01:10:00,Não disponível,00:00:00
249,Alentejo,Alpiarça,39.2591889,-8.5820055,ChIJnXp56eTzGA0RfXMk0fIZNqY,Portugal,Santarém District,Alpiarça,"2090 Alpiarça, Portugal",257,02:31:00,Não disponível,00:00:00,91.7,01:15:00,Não disponível,00:00:00
250,Alentejo,Azambuja,39.0704397,-8.8730393,ChIJ178RVdfdGA0R-8CuBy7-IdI,Portugal,Lisbon,Azambuja,"2050 Azambuja, Portugal",272,02:36:00,345,04:10:00,50.4,00:52:00,46.9,00:50:00
251,Alentejo,Benavente,38.980974,-8.809251399999999,ChIJH6Sd7lMeGQ0RFgAbpKNgBwo,Portugal,Santarém District,Benavente,"Benavente, Portugal",292,02:41:00,Não disponível,00:00:00,56.0,00:49:00,Não disponível,00:00:00
252,Alentejo,Cartaxo,39.16181660000001,-8.7888254,ChIJsW_OUYboGA0RfJ4VNJu6W4g,Portugal,Santarém,Cartaxo,"2070 Cartaxo, Portugal",254,02:23:00,383,04:30:00,66.2,00:57:00,67.6,00:55:00
253,Alentejo,Chamusca,39.3564086,-8.4786825,ChIJAYAsbP1fGA0RiuZTNdAUcWw,Portugal,Santarém,Chamusca,"2140 Chamusca, Portugal",229,02:20:00,Não disponível,00:00:00,108,01:29:00,Não disponível,00:00:00
254,Alentejo,Coruche,38.9596619,-8.52473,ChIJLUrgjLsAGQ0RcVP9rctYbdk,Portugal,Santarém District,Coruche,"2100 Coruche, Portugal",285,02:47:00,289,03:55:00,77.9,01:12:00,117,02:05:00
255,Alentejo,Golegã,39.4047966,-8.4880572,ChIJY_vIkeZhGA0RsX1qqLFWa8Y,Portugal,Santarém District,Golegã,"2150 Golegã, Portugal",221,02:10:00,Não disponível,00:00:00,129,01:28:00,Não disponível,00:00:00
256,Alentejo,Rio Maior,39.3393698,-8.935573699999999,ChIJZSOw6MW4GA0RQAKR5L3rAAU,Portugal,Santarém District,Rio Maior,"Rio Maior, 2040 Rio Maior, Portugal",261,02:27:00,409,04:48:00,81.4,01:08:00,85.6,01:35:00
257,Alentejo,Salvaterra de Magos,39.0272019,-8.794182,ChIJi0tjpgvhGA0RAxrOHTSWbYs,Portugal,Santarém District,Salvaterra de Magos,"Salvaterra de Magos, Portugal",290,02:47:00,Não disponível,00:00:00,62.1,00:57:00,Não disponível,00:00:00
258,Alentejo,Santarém,39.2366618,-8.686011900000002,ChIJm9eOSHLuGA0Rkp3ZqNatBvQ,Portugal,Santarém District,Santarém,"Santarem, Portugal",247,02:22:00,262,02:30:00,81.7,01:06:00,74.3,00:47:00
260,Alentejo,Alter do Chão,39.201007,-7.660334,ChIJFScF3KuFFw0RQVSJ86fQhgI,Portugal,Portalegre,Alter do Chão,"7440 Alter do Chão, Portugal",296,03:08:00,505,06:40:00,194,02:18:00,195,03:05:00
261,Alentejo,Arronches,39.1218363,-7.2845731,ChIJvUzomcenFw0RV0AMw6tkVIw,Portugal,Portalegre District,Arronches,"7340 Arronches, Portugal",316,03:24:00,Não disponível,00:00:00,219,02:20:00,Não disponível,00:00:00
262,Alentejo,Avis,39.07417119999999,-7.8939317,ChIJAX8w9RotGA0RkDeQ5L3rAAQ,Portugal,Portalegre District,Avis,"Avis, 7480, Portugal",295,03:10:00,Não disponível,00:00:00,168,01:55:00,Não disponível,00:00:00
263,Alentejo,Campo Maior,39.0441326,-7.0713572,ChIJJah2dMP9Fg0RpNmhiEHDYws,Portugal,Portalegre District,Campo Maior,"Campo Maior, 7370, Portugal",340,03:42:00,Não disponível,00:00:00,227,02:19:00,Não disponível,00:00:00
264,Alentejo,Castelo de Vide,39.4146181,-7.454066399999999,ChIJA5bHIk2VFw0RNwbmAyh8nv8,Portugal,Portalegre,Castelo de Vide,"7320 Castelo de Vide, Portugal",286,03:03:00,572,07:55:00,224,02:28:00,257,04:10:00
265,Alentejo,Crato,39.28767440000001,-7.6456553,ChIJ5UZjKVuOFw0RDMJWzMHRHFg,Portugal,Portalegre District,Crato,"7430 Crato, Portugal",285,02:59:00,520,06:55:00,209,02:23:00,210,03:20:00
266,Alentejo,Elvas,38.8802788,-7.1636637,ChIJ857MAg4dFw0Ryi_z1DAuCr0,Portugal,Portalegre District,Elvas,"7350 Elvas, Portugal",348,03:54:00,556,06:03:00,208,02:07:00,226,03:20:00
267,Alentejo,Fronteira,39.05599730000001,-7.647754000000001,ChIJI20GCmV4Fw0RxAAD2AhhslM,Portugal,Portalegre District,Fronteira,"7460 Fronteira, Portugal",313,03:25:00,483,06:15:00,180,02:04:00,173,02:40:00
268,Alentejo,Gavião,39.46528,-7.935946899999999,ChIJ53naffEZGA0RXZ9MzI2Nups,Portugal,Portalegre District,Gavião,"6040 Gavião, Portugal",260,02:35:00,492,06:10:00,168,01:54:00,177,02:25:00
269,Alentejo,Marvão,39.3939447,-7.376536299999999,ChIJT4wkDxW_Fw0R1kDG6Lnwmr4,Portugal,Portalegre District,Marvão,"7330 Marvão, Portugal",299,03:19:00,585,09:06:00,236,02:44:00,270,05:21:00
270,Alentejo,Monforte,39.0528283,-7.4377345,ChIJ8y2KutIKFw0RqOL7Y-2LBD8,Portugal,Portalegre,Monforte,"7450 Monforte, Portugal",321,03:25:00,Não disponível,00:00:00,198,02:04:00,Não disponível,00:00:00
271,Alentejo,Nisa,39.5179524,-7.648376700000001,ChIJwyzkX6_xFw0RFsuiAvPjOAg,Portugal,Portalegre District,Nisa,"6050 Nisa, Portugal",260,02:44:00,522,06:40:00,197,02:09:00,207,02:55:00
272,Alentejo,Ponte de Sor,39.2524027,-8.0093497,ChIJc89Gmk47GA0RWR5qLk6WgV0,Portugal,Portalegre District,Ponte de Sor,"7400 Ponte de Sor, Portugal",270,02:49:00,472,06:00:00,137,01:58:00,157,02:15:00
273,Alentejo,Portalegre,39.2967086,-7.4284755,ChIJ3yw5BoK9Fw0RQFO9yvJNwb8,Portugal,Portalegre District,Portalegre,"7300 Portalegre, Portugal",292,03:06:00,541,06:25:00,227,02:24:00,231,02:45:00
274,Alentejo,Sousel,38.9535932,-7.6764218,ChIJzY3yF-t7Fw0RSru5g8zyO8Y,Portugal,Portalegre District,Sousel,"7470 Sousel, Portugal",321,03:34:00,Não disponível,00:00:00,167,01:52:00,Não disponível,00:00:00
276,Alentejo,Alandroal,38.7021331,-7.4036488,ChIJ0YLcwRo_Fw0RIvDvc7BGgEM,Portugal,Évora District,Alandroal,"7250 Alandroal, Portugal",373,04:03:00,Não disponível,00:00:00,193,01:57:00,Não disponível,00:00:00
277,Alentejo,Arraiolos,38.7232208,-7.9867614,ChIJd8c89JnCGQ0RqmMmhp9yq08,Portugal,Évora District,Arraiolos,"7040 Arraiolos, Portugal",394,03:38:00,448,05:20:00,123,01:20:00,138,01:55:00
278,Alentejo,Borba,38.8068177,-7.458405000000001,ChIJ6Qk31TVrFw0RidgXfhAjBZ8,Portugal,Évora District,Borba,"7150 Borba, Portugal",359,03:52:00,527,05:33:00,180,01:47:00,197,02:50:00
279,Alentejo,Estremoz,38.8425123,-7.588837799999999,ChIJ21mj6kBvFw0R_RDEecWRv_U,Portugal,Évora District,Estremoz,"7100 Estremoz, Portugal",347,03:43:00,484,05:40:00,171,01:45:00,174,02:00:00
280,Alentejo,Évora,38.571431,-7.913501999999999,ChIJnRODON_kGQ0RbO-9wzGKraY,Portugal,Évora District,Évora,"Evora, Portugal",403,03:44:00,467,06:09:00,132,01:26:00,115,02:01:00
281,Alentejo,Montemor-o-Novo,38.64814,-8.211679799999999,ChIJnx4fHiyUGQ0R2An_EQt2Umc,Portugal,Évora District,Montemor-o-Novo,"7050 Montemor-o-Novo, Portugal",373,03:25:00,496,08:45:00,102,01:07:00,143,06:00:00
282,Alentejo,Mora,38.9447445,-8.1653387,ChIJV9R153K2GQ0RJOI2kb5v7H8,Portugal,Évora District,Mora,"7490 Mora, Portugal",322,03:19:00,422,05:05:00,108,01:34:00,112,01:30:00
283,Alentejo,Mourão,38.3637216,-7.286867999999999,ChIJtVnHXWLMEA0R30A9MEGLHrc,Portugal,Évora District,Mourão,"Mourão, 7240, Portugal",467,04:36:00,Não disponível,00:00:00,196,02:19:00,Não disponível,00:00:00
284,Alentejo,Portel,38.3088689,-7.7047438,ChIJM8kXCVKpEA0Rjn4tBqnGDN8,Portugal,Distrito de Évora,Portel,"7220 Portel, Portugal",444,04:14:00,486,06:10:00,172,01:56:00,176,02:35:00
285,Alentejo,Redondo,38.63714239999999,-7.589737200000001,ChIJ1ZOXfRREFw0RSH_Gs5BnUJc,Portugal,Évora District,Redondo,"Redondo, Portugal",365,04:07:00,Não disponível,00:00:00,169,01:49:00,Não disponível,00:00:00
286,Alentejo,Reguengos de Monsaraz,38.42526549999999,-7.5344352,ChIJHRv_nLtMFw0RRnNI9G93zTA,Portugal,Évora District,Reguengos de Monsaraz,"7200 Reguengos de Monsaraz, Portugal",441,04:15:00,479,06:20:00,170,01:57:00,168,02:35:00
287,Alentejo,Vendas Novas,38.6768924,-8.4633558,ChIJe_iOlvifGQ0ReyybnR5JII4,Portugal,Évora District,Vendas Novas,"7080 Vendas Novas, Portugal",339,03:12:00,395,04:44:00,85.6,01:00:00,95.1,01:24:00
288,Alentejo,Viana do Alentejo,38.3341493,-8.0038406,ChIJ5eStrQEdGg0ReJzgnpAtxqM,Portugal,Évora District,Viana do Alentejo,"7090 Viana do Alentejo, Portugal",431,04:06:00,Não disponível,00:00:00,160,01:49:00,Não disponível,00:00:00
289,Alentejo,Vila Viçosa,38.7754165,-7.416119999999999,ChIJOTaEmnIVFw0R7Ihw-npcbnM,Portugal,Distrito de Évora,Vila Viçosa,"7160 Vila Viçosa, Portugal",366,03:59:00,520,05:28:00,187,01:54:00,190,02:45:00
292,Algarve,Albufeira,37.0890719,-8.2478796,ChIJH8TdOK7OGg0RRRBEYqXnIu0,Portugal,Faro District,Albufeira,"8200 Albufeira, Portugal",528,04:46:00,583,07:10:00,256,02:29:00,252,02:45:00
293,Algarve,Alcoutim,37.4689817,-7.4735957,ChIJowm92zZqEA0RRYMQEvvWKmI,Portugal,Faro District,Alcoutim,"8970 Alcoutim, Portugal",548,05:21:00,699,09:55:00,276,03:03:00,384,06:10:00
294,Algarve,Aljezur,37.31657,-8.7992645,ChIJw4QJoFMVGw0Rxg_DN39zeBA,Portugal,Faro District,Aljezur,"8670 Aljezur, Portugal",590,05:21:00,556,07:25:00,318,03:04:00,241,03:45:00
295,Algarve,Castro Marim,37.2179422,-7.4423339,ChIJ_2ZrNQwYEA0RA0BkbDz2sBA,Portugal,Faro District,Castro Marim,"8950 Castro Marim, Portugal",596,05:19:00,622,08:45:00,324,03:02:00,312,05:05:00
296,Algarve,Faro,37.0164626,-7.9351983,ChIJp_qQIudSBQ0RWv9KSdTCc40,Portugal,Faro District,Faro,"Faro, Portugal",549,04:59:00,605,07:30:00,277,02:41:00,294,03:45:00
297,Algarve,Lagoa,37.1346084,-8.4513272,ChIJGcrqJ7DXGg0R8DOQ5L3rAAQ,Portugal,Faro District,Lagoa,"Lagoa, 8400, Portugal",541,04:48:00,556,06:56:00,269,02:31:00,274,03:11:00
298,Algarve,Lagos,37.1027881,-8.6730275,ChIJjU0jUEkwGw0RV_waR6OqEFQ,Portugal,Faro District,Lagos,"8600 Lagos, Portugal",573,05:10:00,640,08:20:00,301,02:52:00,309,03:45:00
299,Algarve,Loulé,37.1379187,-8.020216,ChIJkTRI3SmxGg0RY14FaR4uG6c,Portugal,Faro District,Loulé,"8100 Loulé, Portugal",536,04:48:00,621,08:59:00,264,02:30:00,314,04:33:00
300,Algarve,Monchique,37.3179879,-8.5561706,ChIJQVpSze8hGw0RZgOBxAGMa2g,Portugal,Faro,Monchique,"8550 Monchique, Portugal",528,05:04:00,650,08:45:00,256,02:46:00,320,05:00:00
301,Algarve,Olhão,37.02731929999999,-7.839969000000001,ChIJ-zTptzKrGg0RkokFGQYp9BQ,Portugal,Faro District,Olhão,"Olhão, Portugal",568,05:07:00,615,08:49:00,296,02:49:00,331,05:48:00
302,Algarve,Portimão,37.13617,-8.5376926,ChIJYSkkqewoGw0R4RSAcSPJ_JM,Portugal,Faro District,Portimão,"8500 Portimão, Portugal",553,04:59:00,620,07:50:00,282,02:42:00,290,03:15:00
303,Algarve,São Brás de Alportel,37.152576,-7.889052299999999,ChIJ7VmYUNuuGg0RAncYTvOHbW4,Portugal,Faro District,São Brás de Alportel,"8150 São Brás de Alportel, Portugal",555,04:59:00,648,07:39:00,283,02:42:00,298,04:41:00
304,Algarve,Silves,37.1873255,-8.439477499999999,ChIJR7dMc_LZGg0RpqURX5Mg4s4,Portugal,Faro District,Silves,"Silves, Portugal",524,04:46:00,633,08:58:00,252,02:28:00,302,04:23:00
305,Algarve,Tavira,37.1335906,-7.643001899999999,ChIJJWaO0HwDEA0RRd0tOcUDRdQ,Portugal,Faro District,Tavira,"8800 Tavira, Portugal",574,05:07:00,587,07:30:00,302,02:49:00,309,04:16:00
306,Algarve,Vila do Bispo,37.0829204,-8.9121095,ChIJKy_0giVJGw0R93HidwDvK18,Portugal,Faro District,Vila do Bispo,"8650 Vila do Bispo, Portugal",592,05:26:00,632,07:45:00,320,03:08:00,322,04:00:00
307,Algarve,Vila Real de Santo António,37.1937766,-7.420787899999999,ChIJNXz7_GMiEA0Rmh8-yQAVANw,Portugal,Faro District,Vila Real de Santo António,"Vila Real de Santo António, Portugal",596,05:22:00,635,08:15:00,324,03:04:00,359,05:00:00
311,Região Autónoma dos Açores,Vila do Porto,36.9568069,-25.1412354,ChIJHfhIuDyRZwsRGyHa8fZRUAc,Portugal,Açores,Vila do Porto,"Vila do Porto, 9580, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
313,Região Autónoma dos Açores,Lagoa [R.A.A.],37.1346307,-8.451247,ChIJqdPvp_7WGg0RyuVyn1Lyvyc,Portugal,Faro District,Lagoa,"8400 Lagoa, Portugal",541,04:48:00,555,06:50:00,269,02:31:00,270,03:00:00
314,Região Autónoma dos Açores,Nordeste,37.8324954,-25.1459445,ChIJISRqDcQdXQsRXdiGhMIPX4k,Portugal,Açores,Nordeste,"Nordeste, 9630, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
315,Região Autónoma dos Açores,Ponta Delgada,37.7394207,-25.6686725,ChIJlw6wdswqQwsRFsRvTvKAVXY,Portugal,Azores,São Miguel,"Ponta Delgada, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
316,Região Autónoma dos Açores,Povoação,37.7486524,-25.2390903,ChIJn9rFmA0fXQsRkD-Q5L3rAAQ,Portugal,Azores,Povoação,"9650 Povoacao, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
317,Região Autónoma dos Açores,Ribeira Grande,37.8226777,-25.5238789,ChIJjTB99cvZXAsRoD-Q5L3rAAQ,Portugal,Azores,Ribeira Grande,"9600 Ribeira Grande, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
318,Região Autónoma dos Açores,Vila Franca do Campo,37.7157269,-25.4345063,ChIJlz4wp10mXQsR8R4AhiKAubI,Portugal,Azores,Vila Franca do Campo,"9680 Vila Franca do Campo, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
320,Região Autónoma dos Açores,Angra do Heroísmo,38.6635375,-27.2293969,ChIJBTvkER5_RgsRBgaj9bnZ8sY,Portugal,Azores,Terceira,"9700 Angra do Heroísmo, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
321,Região Autónoma dos Açores,Vila da Praia da Vitória,38.7798819,-27.1529458,ChIJXQV3xCHYRQsRZPzYfxNzsKk,Portugal,Azores,Terceira,"9760 Vila Nova, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
323,Região Autónoma dos Açores,Santa Cruz da Graciosa,39.0862753,-28.0156811,ChIJv5sfSi5_SAsRkD6Q5L3rAAQ,Portugal,Azores,Graciosa,"Santa Cruz da Graciosa, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
325,Região Autónoma dos Açores,Calheta [R.A.A.],32.7331781,-17.1928035,ChIJrWR7uIVRYAwRPWwB6gaJt0U,Portugal,Madeira,Madeira,"9370 Estreito da Calheta, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
326,Região Autónoma dos Açores,Velas,38.6839843,-28.2131879,ChIJl9faFXPHRwsRsD6Q5L3rAAQ,Portugal,Azores,San Jorge,"9800 Velas, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
328,Região Autónoma dos Açores,Lajes do Pico,38.39976770000001,-28.2519641,ChIJgakZpP2jRwsRID-Q5L3rAAQ,Portugal,Azores,Pico,"9930 Lajes do Pico, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
329,Região Autónoma dos Açores,Madalena,41.10181,-8.647329,ChIJq7qhA1JlJA0RsEqQ5L3rAAU,Portugal,Porto District,Vila Nova de Gaia,"Madalena, 4405 Vila Nova de Gaia, Portugal",8.9,00:17:00,8.3,00:33:00,309,03:03:00,329,04:36:00
330,Região Autónoma dos Açores,São Roque do Pico,38.5160544,-28.3140488,ChIJY-KOW0-9RwsRQD-Q5L3rAAQ,Portugal,Azores,Pico,"São Roque do Pico, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
332,Região Autónoma dos Açores,Horta,38.5348447,-28.6299812,ChIJXzht8NeKRwsRCeeNmTYc6DU,Portugal,Azores,Faial,"Horta, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
334,Região Autónoma dos Açores,Lajes das Flores,39.3782624,-31.1781975,ChIJwdj33NAjMgsRAD-Q5L3rAAQ,Portugal,Azores,Flores,"Lajes das Flores, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
335,Região Autónoma dos Açores,Santa Cruz das Flores,39.453672,-31.1275738,ChIJN4mG6zokMgsRcNGdRmokQMs,Portugal,Azores,Flores,"Santa Cruz das Flores, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
337,Região Autónoma dos Açores,Corvo,39.6729436,-31.1144706,ChIJr0OcnJVHMgsR4D6Q5L3rAAQ,Portugal,Azores,Corvo,"9980 Vila do Corvo, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
341,Região Autónoma da Madeira,Calheta [R.A.M.],32.7331781,-17.1928035,ChIJrWR7uIVRYAwRPWwB6gaJt0U,Portugal,Madeira,Madeira,"9370 Estreito da Calheta, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
342,Região Autónoma da Madeira,Câmara de Lobos,32.6607565,-16.9867462,ChIJyR0p1JleYAwR0D-Q5L3rAAQ,Portugal,Madeira,Madeira,"Câmara de Lobos, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
343,Região Autónoma da Madeira,Funchal,32.6506129,-16.9082357,ChIJq4sfUMNfYAwROaHNFSxN2P8,Portugal,Madeira,Madeira,"Funchal, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
344,Região Autónoma da Madeira,Machico,32.7318412,-16.791291,ChIJNWG5TApjYAwRsip0tQK8Kos,Portugal,Madeira,Madeira,"Machico, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
345,Região Autónoma da Madeira,Ponta do Sol,32.6814913,-17.1019871,ChIJ9ZNr2FhXYAwRXFkpnOOotnU,Portugal,Madeira,Ponta do Sol,"9360 Ponta do Sol, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
346,Região Autónoma da Madeira,Porto Moniz,32.8659619,-17.1673851,ChIJWe6SLqtPYAwREECQ5L3rAAQ,Portugal,Madeira,Madeira,"Porto Moniz, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
347,Região Autónoma da Madeira,Ribeira Brava,32.671409,-17.0646395,ChIJP4nwPQpZYAwRpQT3iMD8F3Y,Portugal,Madeira,Madeira,"9350 Ribeira Brava, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
348,Região Autónoma da Madeira,Santa Cruz,39.1340863,-9.3814444,ChIJXV00g4M6Hw0RfGbsn014wsM,Portugal,Lisboa,Torres Vedras,"Santa Cruz, 2560-498 Silveira, Portugal",284,02:49:00,Não disponível,00:00:00,68.5,01:05:00,Não disponível,00:00:00
349,Região Autónoma da Madeira,Santana,32.8051351,-16.881891,ChIJa1Wtk7dnYAwRyc_mGzEhae8,Portugal,Madeira,Madeira,"9230 Santana, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
350,Região Autónoma da Madeira,São Vicente,32.803304,-17.0455668,ChIJRc0CdNREYAwR1lYyzHXZ7Zs,Portugal,Madeira,Madeira,"9240 Sao Vicente, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
352,Região Autónoma da Madeira,Porto Santo,33.05,-16.35,ChIJsytbpU3dXwwRtCxE2Ta2B0U,Portugal,Madeira,Porto Santo,"9400-226 Porto Santo, Portugal",Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00,Não disponível,00:00:00
