;location;202001;202002;202003;202004;202005;202006;202007;202008;202009;202010;202011;202012;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111
0;Brasil,+Sao+Paulo;26,0;25,0;26,0;25,0;22,0;24,0;25,0;27,0;32,5;31,0;27,5;27,0;27,0;26,0;26,0;27,0;28,0;27,0;27,0;30,0;38,0;26,0;29,0
1;Portugal,+Abrantes;14,0;18,0;18,0;19,0;28,0;26,0;36,0;31,0;28,5;21,0;18,5;13,0;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;19,0
2;Portugal,+Agueda;14,0;17,0;19,0;18,0;25,0;23,5;32,0;27,0;27,0;21,0;19,0;13,0;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,0
3;Portugal,+Aguiar+da+Beira;11,0;15,0;16,0;16,0;26,0;23,5;35,0;29,0;27,0;19,0;15,0;10,0;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0
4;Portugal,+Alandroal;13,0;18,0;17,0;19,0;27,0;26,5;37,0;34,0;29,0;23,0;18,5;14,0;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0
5;Portugal,+Albergaria-a-Velha;14,0;17,0;19,0;18,0;25,0;23,5;32,0;27,0;27,0;21,0;19,0;13,0;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,0
6;Portugal,+Albufeira;15,0;18,0;17,0;18,0;23,0;25,0;28,0;28,0;25,0;21,0;19,0;15,0;14,0;16,0;17,0;19,0;24,0;25,0;28,0;29,0;28,5;25,0;20,0
7;Portugal,+Alcacer+do+Sal;14,0;17,0;17,0;18,0;25,0;23,0;29,0;27,0;24,0;21,0;19,0;15,0;13,0;15,5;17,0;19,0;23,0;25,0;28,0;28,0;27,5;26,0;20,0
8;Portugal,+Alcanena;14,0;18,0;18,0;18,5;27,0;25,0;36,0;29,0;28,0;22,0;18,5;14,0;13,0;16,0;18,0;20,5;23,0;28,0;30,0;32,0;30,0;25,0;20,0
9;Portugal,+Alcobaca;14,0;16,0;16,0;16,0;21,0;20,0;26,0;22,0;24,0;19,0;18,0;13,0;12,0;14,5;16,0;18,5;19,0;21,0;22,0;24,0;24,0;22,0;19,0
10;Portugal,+Alcochete;14,0;18,0;18,0;18,0;24,0;23,0;29,0;26,0;24,5;21,0;19,0;15,0;14,0;16,0;17,0;19,5;23,0;25,0;27,0;28,0;28,0;25,0;20,0
11;Portugal,+Alcoutim;15,0;18,0;18,0;19,0;24,0;25,0;30,0;29,0;26,0;22,0;19,0;16,0;14,0;16,0;18,0;19,0;24,0;26,0;29,0;29,0;29,0;26,0;21,0
12;Portugal,+Alenquer;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
13;Portugal,+Alentejo+Central;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
14;Portugal,+Alentejo+Litoral;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
15;Portugal,+Alfandega+da+Fe;9,0;14,0;15,0;16,5;26,0;24,0;34,0;30,0;25,5;17,0;14,5;8,0;8,0;11,5;15,0;17,0;21,0;25,5;30,0;32,0;24,0;21,0;14,0
16;Portugal,+Algarve;15,0;17,0;17,0;18,0;21,0;22,5;26,0;26,0;24,0;21,0;19,0;16,0;13,0;16,0;16,0;18,0;21,0;22,5;25,0;25,0;25,5;24,0;21,0
17;Portugal,+Alijo;10,0;14,0;16,0;17,0;26,0;24,0;34,0;29,0;27,0;17,0;15,0;10,0;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0
18;Portugal,+Aljezur;13,0;17,0;16,0;17,0;24,0;23,0;30,0;28,0;24,5;20,0;17,5;13,0;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;19,0
19;Portugal,+Aljustrel;14,0;17,0;17,0;17,0;25,0;23,0;34,0;27,0;26,5;20,0;18,0;13,0;12,0;15,0;18,0;20,0;22,0;26,0;28,0;30,0;29,0;24,0;18,0
20;Portugal,+Almada;16,0;18,0;17,0;18,0;24,0;23,0;28,0;26,0;24,0;21,0;19,0;15,0;14,0;16,0;17,0;19,0;22,0;24,0;26,0;27,0;27,0;25,0;19,0
21;Portugal,+Almeida;8,0;13,0;14,0;14,0;23,0;21,5;33,0;29,0;24,5;16,0;13,0;8,0;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;13,0
22;Portugal,+Almeirim;14,0;18,0;18,0;18,5;26,0;24,0;35,0;29,0;27,5;22,0;19,0;14,0;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;20,0
23;Portugal,+Almodovar;14,0;18,0;16,0;18,0;23,0;25,0;29,0;29,0;25,0;21,0;18,0;14,0;13,0;15,5;17,0;19,0;24,0;26,0;29,0;30,0;29,0;25,0;21,0
24;Portugal,+Alpiarca;14,0;18,0;18,0;18,5;26,0;24,0;35,0;29,0;27,5;22,0;19,0;14,0;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;20,0
25;Portugal,+Alter+do+Chao;11,0;15,0;15,0;16,0;26,0;25,5;36,0;32,0;27,0;20,0;16,0;11,0;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;16,0
26;Portugal,+Alto+Alentejo;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
27;Portugal,+Alto+Tamega;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
28;Portugal,+Alvaiazere;14,0;18,0;18,0;18,0;25,0;23,0;31,0;26,0;26,0;21,0;19,0;13,0;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,0
29;Portugal,+Alvito;14,0;18,0;18,0;18,0;25,0;23,0;31,0;26,0;26,0;21,0;19,0;13,0;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,0
30;Portugal,+Amadora;15,0;18,0;17,0;18,0;25,0;23,0;30,0;26,0;24,0;21,0;19,0;15,0;14,0;16,0;17,0;19,0;22,0;23,5;26,0;27,0;28,0;25,0;20,0
31;Portugal,+Amarante;13,0;16,0;18,0;18,0;27,0;24,5;36,0;30,0;28,5;19,0;18,0;11,0;12,0;13,0;19,0;19,5;21,0;27,5;30,0;32,0;28,0;23,0;17,0
32;Portugal,+Amares;13,0;15,0;16,0;17,0;26,0;24,0;33,0;29,0;26,0;17,0;15,0;10,0;10,0;13,0;17,0;19,0;20,0;26,0;29,0;31,0;27,0;22,0;16,0
33;Portugal,+Anadia;14,0;17,0;19,0;18,0;25,0;23,5;32,0;27,0;27,0;21,0;19,0;13,0;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,0
34;Portugal,+Angra+do+Heroismo;16,0;16,0;15,0;16,0;17,0;18,0;21,0;23,0;21,0;20,0;16,0;15,0;16,0;14,0;15,0;16,0;18,0;20,0;22,0;23,0;22,0;21,0;20,0
35;Portugal,+Arcos+de+Valdevez;13,0;16,0;18,0;17,0;25,0;23,0;33,0;27,0;26,5;18,0;17,0;12,0;12,0;13,0;17,0;19,0;20,0;25,0;28,0;31,0;27,0;22,0;18,0
36;Portugal,+Area+Metropolitana+de+Lisboa;15,0;17,0;17,0;18,0;24,0;22,5;29,0;25,0;24,0;20,0;19,0;15,0;14,0;16,0;17,0;19,0;22,0;24,0;25,0;27,0;27,0;25,0;20,0
37;Portugal,+Area+Metropolitana+do+Porto;13,0;16,0;16,0;17,0;22,0;20,0;27,0;23,0;23,0;18,0;18,0;13,0;13,0;14,0;17,0;18,0;18,0;20,5;22,0;23,0;23,0;22,0;17,0
38;Portugal,+Arganil;14,0;18,0;18,0;19,0;28,0;26,0;36,0;31,0;28,5;21,0;18,5;13,0;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;19,0
39;Portugal,+Armamar;10,0;14,0;16,0;17,0;26,0;24,0;34,0;29,0;27,0;17,0;15,0;10,0;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0
40;Portugal,+Arouca;15,0;18,0;17,0;18,0;23,0;24,0;28,0;28,0;25,0;22,0;19,0;15,0;14,0;16,0;17,0;19,0;23,0;25,0;28,0;28,0;28,0;25,0;21,0
41;Portugal,+Arraiolos;14,0;18,0;18,0;19,0;27,0;26,0;37,0;33,0;29,0;23,0;20,0;14,0;13,0;16,0;18,0;21,0;25,0;30,0;33,0;34,0;30,0;28,0;19,0
42;Portugal,+Arronches;11,0;15,0;15,0;16,0;26,0;25,5;36,0;32,0;27,0;20,0;16,0;11,0;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;16,0
43;Portugal,+Arruda+dos+Vinhos;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
44;Portugal,+Aveiro;14,0;16,0;17,0;17,0;21,0;20,5;26,0;23,0;24,5;19,0;19,0;13,0;13,0;14,5;17,0;19,0;19,0;21,5;22,0;24,0;24,5;22,0;17,0
45;Portugal,+Avis;30,0;27,0;25,0;25,0;23,0;20,0;20,0;23,0;27,0;31,0;30,5;31,0;26,0;27,0;25,0;25,0;22,0;20,0;19,0;25,0;31,0;31,0;33,0
46;Portugal,+Azambuja;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
47;Portugal,+Baiao;13,0;17,0;16,0;17,0;24,0;23,0;30,0;28,0;24,5;20,0;17,5;13,0;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;19,0
48;Portugal,+Baixo+Alentejo;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
49;Portugal,+Barcelos;13,0;15,0;17,0;17,0;23,0;22,0;30,0;25,0;24,5;18,0;17,0;12,0;13,0;13,5;17,0;19,0;19,0;22,5;25,0;27,0;25,0;22,0;18,0
50;Portugal,+Barrancos;14,0;18,0;17,0;19,0;28,0;28,0;39,0;35,0;30,0;23,0;19,0;13,0;12,0;16,0;18,0;21,0;27,0;31,5;35,0;35,0;30,5;29,0;18,0
51;Portugal,+Barreiro;13,0;16,0;18,0;17,0;23,0;21,5;28,0;24,0;24,5;19,0;18,0;13,0;13,0;14,5;17,0;19,0;19,0;22,5;23,0;25,0;24,0;23,0;17,0
52;Portugal,+Batalha;14,0;17,0;17,0;17,0;22,0;21,0;28,0;24,0;24,5;20,0;18,0;13,0;12,0;15,0;16,0;19,0;20,0;22,5;24,0;26,0;26,0;23,0;19,0
53;Portugal,+Beira+Baixa;26,0;27,0;28,0;27,5;30,0;31,0;33,0;32,0;29,0;26,0;25,0;25,0;26,0;27,0;27,0;27,0;30,0;32,5;34,0;32,0;31,0;30,0;30,0
54;Portugal,+Beiras+e+Serra+da+Estrela;14,0;17,0;18,0;18,0;26,0;24,0;33,0;27,0;27,5;21,0;18,5;13,0;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0
55;Portugal,+Beja;14,0;19,0;18,0;20,0;28,0;27,0;39,0;35,0;30,5;23,0;19,5;14,0;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0
56;Portugal,+Belmonte;15,0;17,0;17,0;18,0;22,0;23,0;27,0;26,0;24,0;21,0;19,0;16,0;14,0;16,0;17,0;18,0;22,0;23,0;26,0;26,0;26,0;25,0;21,0
57;Portugal,+Benavente;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
58;Portugal,+Bombarral;14,0;16,0;16,0;17,0;21,0;20,5;24,0;23,0;23,5;19,0;19,0;14,0;13,0;15,0;16,0;18,0;19,0;20,5;22,0;23,0;25,0;22,0;19,0
59;Portugal,+Borba;11,0;15,0;17,0;16,5;25,0;22,5;34,0;28,0;26,0;18,0;15,5;10,0;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0
60;Portugal,+Boticas;11,0;15,0;15,0;18,0;25,0;24,0;35,0;31,0;28,0;18,0;15,5;10,0;9,0;12,0;17,0;18,0;21,0;26,5;30,0;34,0;26,0;21,0;15,0
61;Portugal,+Braga;13,0;15,0;17,0;17,0;25,0;23,5;33,0;28,0;25,5;19,0;16,5;11,0;12,0;13,0;18,0;19,0;20,0;25,5;29,0;30,0;27,0;23,0;17,0
62;Portugal,+Braganca;9,0;14,0;14,0;16,5;25,0;23,5;33,0;30,0;25,5;16,0;14,0;8,0;8,0;10,5;15,0;16,0;20,0;25,0;30,0;32,0;24,0;20,0;13,0
63;Portugal,+Cabeceiras+de+Basto;11,0;15,0;17,0;16,5;25,0;22,5;34,0;28,0;26,0;18,0;15,5;10,0;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0
64;Portugal,+Cadaval;14,0;16,0;16,0;17,0;21,0;20,5;24,0;23,0;23,5;19,0;19,0;14,0;13,0;15,0;16,0;18,0;19,0;20,5;22,0;23,0;25,0;22,0;19,0
65;Portugal,+Caldas+da+Rainha;14,0;16,0;16,0;17,0;21,0;20,5;24,0;23,0;23,5;19,0;19,0;14,0;13,0;15,0;16,0;18,0;19,0;20,5;22,0;23,0;25,0;22,0;19,0
66;Portugal,+Calheta+[R.A.A.];13,0;15,0;13,0;14,0;17,0;18,5;21,0;22,0;20,5;18,0;15,5;13,0;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0
67;Portugal,+Calheta+[R.A.M.];13,0;15,0;13,0;14,0;17,0;18,5;21,0;22,0;20,5;18,0;15,5;13,0;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0
68;Portugal,+Camara+de+Lobos;13,0;15,0;13,0;14,0;17,0;18,5;21,0;22,0;20,5;18,0;15,5;13,0;13,0;14,5;13,0;15,0;17,0;19,0;25,0;23,0;22,0;21,0;17,0
69;Portugal,+Caminha;13,0;15,0;16,0;16,0;21,0;20,0;26,0;23,0;22,0;17,0;17,0;13,0;12,0;13,0;16,0;17,5;17,0;20,0;22,0;23,0;23,0;21,0;17,0
70;Portugal,+Campo+Maior;13,0;18,0;17,0;19,5;28,0;28,0;38,0;35,0;30,0;22,0;19,0;13,0;12,0;16,0;18,0;20,0;27,0;32,0;35,0;36,0;30,0;27,0;19,0
71;Portugal,+Cantanhede;14,0;17,0;17,0;17,5;23,0;22,0;29,0;26,0;26,0;21,0;19,0;13,0;13,0;15,0;17,0;20,0;21,0;24,0;25,0;27,0;27,0;23,0;18,0
72;Portugal,+Carrazeda+de+Ansiaes;10,0;14,0;16,0;17,0;26,0;24,0;34,0;29,0;27,0;17,0;15,0;10,0;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0
73;Portugal,+Carregal+do+Sal;11,0;15,0;16,0;16,0;26,0;23,5;35,0;29,0;27,0;19,0;15,0;10,0;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0
74;Portugal,+Cartaxo;14,0;18,0;18,0;18,5;26,0;24,0;35,0;29,0;27,5;22,0;19,0;14,0;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;20,0
75;Portugal,+Cascais;15,0;16,0;16,0;17,0;20,0;20,0;23,0;22,0;22,0;19,0;18,5;15,0;14,0;15,0;16,0;17,0;18,0;19,0;21,0;22,0;24,0;22,0;19,0
76;Portugal,+Castanheira+de+Pera;14,0;17,0;18,0;18,0;26,0;24,0;33,0;27,0;27,5;21,0;18,5;13,0;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0
77;Portugal,+Castelo+Branco;12,0;17,0;17,0;18,0;28,0;27,0;38,0;34,0;28,0;20,0;16,5;12,0;11,0;13,5;18,0;19,0;25,0;30,5;34,0;35,0;29,0;25,0;18,0
78;Portugal,+Castelo+de+Paiva;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
79;Portugal,+Castelo+de+Vide;11,0;15,0;15,0;16,0;26,0;25,5;36,0;32,0;27,0;20,0;16,0;11,0;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;16,0
80;Portugal,+Castro+Daire;11,0;15,0;16,0;16,0;26,0;23,5;35,0;29,0;27,0;19,0;15,0;10,0;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0
81;Portugal,+Castro+Marim;15,0;18,0;18,0;19,0;24,0;25,0;30,0;29,0;26,0;22,0;19,0;16,0;14,0;16,0;18,0;19,0;24,0;26,0;29,0;29,0;29,0;26,0;21,0
82;Portugal,+Castro+Verde;14,0;19,0;18,0;20,0;28,0;27,0;39,0;35,0;30,5;23,0;19,5;14,0;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0
83;Portugal,+Celorico+da+Beira;8,0;13,0;14,0;14,0;23,0;21,5;33,0;29,0;24,5;16,0;13,0;8,0;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;13,0
84;Portugal,+Celorico+de+Basto;13,0;16,0;18,0;18,0;27,0;24,5;36,0;30,0;28,5;19,0;18,0;11,0;12,0;13,0;19,0;19,5;21,0;27,5;30,0;32,0;28,0;23,0;17,0
85;Portugal,+Chamusca;11,0;15,0;16,0;16,0;25,0;25,0;35,0;30,0;26,5;19,0;16,0;10,0;10,0;11,0;16,0;17,5;21,0;26,5;31,0;33,0;27,0;23,0;15,0
86;Portugal,+Chaves;11,0;15,0;15,0;18,0;25,0;24,0;35,0;31,0;28,0;18,0;15,5;10,0;9,0;12,0;17,0;18,0;21,0;26,5;30,0;34,0;26,0;21,0;15,0
87;Portugal,+Cinfaes;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
88;Portugal,+Coimbra;14,0;17,0;18,0;18,0;26,0;24,0;33,0;27,0;27,5;21,0;18,5;13,0;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0
89;Portugal,+Condeixa-a-Nova;14,0;17,0;18,0;18,0;26,0;24,0;33,0;27,0;27,5;21,0;18,5;13,0;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0
90;Portugal,+Constancia;14,0;18,0;18,0;19,0;28,0;26,0;36,0;31,0;28,5;21,0;18,5;13,0;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;19,0
91;Portugal,+Coruche;14,0;18,0;18,0;18,5;26,0;24,0;35,0;29,0;27,5;22,0;19,0;14,0;13,0;17,0;18,0;20,5;23,0;28,0;29,0;31,0;29,0;26,0;20,0
92;Portugal,+Corvo;16,0;16,0;15,0;16,0;17,0;18,0;21,0;23,0;21,0;20,0;17,0;16,0;17,0;15,0;16,0;16,0;17,0;20,0;21,0;23,0;21,0;21,0;21,0
93;Portugal,+Covilha;10,0;16,0;15,0;16,0;25,0;24,5;35,0;31,0;26,0;18,0;15,0;10,0;10,0;12,0;16,0;17,0;22,0;28,0;31,0;33,0;26,0;23,0;16,0
94;Portugal,+Crato;11,0;15,0;15,0;16,0;26,0;25,5;36,0;32,0;27,0;20,0;16,0;11,0;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;16,0
95;Portugal,+Cuba;14,0;19,0;18,0;20,0;28,0;27,0;39,0;35,0;30,5;23,0;19,5;14,0;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0
96;Portugal,+Douro;14,0;18,0;18,0;18,0;25,0;23,0;31,0;26,0;26,0;21,0;19,0;13,0;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,0
97;Portugal,+Elvas;13,0;18,0;17,0;19,5;28,0;28,0;38,0;35,0;30,0;22,0;19,0;13,0;12,0;16,0;18,0;20,0;27,0;32,0;35,0;36,0;30,0;27,0;19,0
98;Portugal,+Entroncamento;14,0;18,0;18,0;18,5;27,0;25,0;36,0;29,0;28,0;22,0;18,5;14,0;13,0;16,0;18,0;20,5;23,0;28,0;30,0;32,0;30,0;25,0;20,0
99;Portugal,+Espinho;13,0;16,0;18,0;17,0;23,0;21,5;28,0;24,0;24,5;19,0;18,0;13,0;13,0;14,5;17,0;19,0;19,0;22,5;23,0;25,0;24,0;23,0;17,0
100;Portugal,+Esposende;13,0;15,0;17,0;17,0;23,0;22,0;30,0;25,0;24,5;18,0;17,0;12,0;13,0;13,5;17,0;19,0;19,0;22,5;25,0;27,0;25,0;22,0;18,0
101;Portugal,+Estarreja;14,0;16,0;18,0;18,0;25,0;22,5;31,0;26,0;25,5;19,0;18,5;13,0;13,0;14,0;18,0;20,0;20,0;25,0;25,0;28,0;26,0;23,0;18,0
102;Portugal,+Estremoz;13,0;18,0;17,0;19,0;27,0;26,5;37,0;34,0;29,0;23,0;18,5;14,0;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0
103;Portugal,+Evora;13,0;18,0;17,0;19,0;27,0;26,5;37,0;34,0;29,0;23,0;18,5;14,0;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0
104;Portugal,+Fafe;11,0;15,0;17,0;16,5;25,0;22,5;34,0;28,0;26,0;18,0;15,5;10,0;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0
105;Portugal,+Faro;15,0;17,0;17,0;18,0;21,0;22,5;26,0;26,0;24,0;21,0;19,0;16,0;13,0;16,0;16,0;18,0;21,0;22,5;25,0;25,0;25,5;24,0;21,0
106;Portugal,+Felgueiras;11,0;15,0;17,0;16,5;25,0;22,5;34,0;28,0;26,0;18,0;15,5;10,0;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0
107;Portugal,+Ferreira+do+Alentejo;14,0;19,0;18,0;20,0;28,0;27,0;39,0;35,0;30,5;23,0;19,5;14,0;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0
108;Portugal,+Ferreira+do+Zezere;14,0;18,0;18,0;18,0;26,0;24,0;35,0;29,0;28,0;21,0;18,5;13,0;13,0;15,0;18,0;20,5;23,0;28,0;29,0;32,0;29,0;25,0;18,0
109;Portugal,+Figueira+da+Foz;14,0;16,0;16,0;17,0;20,0;20,0;24,0;22,0;22,5;18,0;18,0;14,0;13,0;15,0;16,0;18,0;18,0;19,5;21,0;23,0;24,0;21,0;19,0
110;Portugal,+Figueira+de+Castelo+Rodrigo;8,0;13,0;14,0;14,0;23,0;21,5;33,0;29,0;24,5;16,0;13,0;8,0;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;13,0
111;Portugal,+Figueiro+dos+Vinhos;14,0;18,0;18,0;18,0;25,0;23,0;31,0;26,0;26,0;21,0;19,0;13,0;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,0
